ink_iron_ratio,parchment_density,carbon_14_ratio,scribal_pressure_var,pigment_layer_count,uv_fluorescence_idx,linguistic_anachronism_score,vellum_thickness_mm,is_authentic
0.747,1.046,0.9411,79.9,7,0.829,8.41,0.558,0
0.445,0.835,0.8738,29.7,4,0.307,1.72,0.136,1
0.823,0.52,0.9638,49.1,5,0.566,1.31,0.391,0
0.678,0.971,0.8813,12.4,3,0.232,7.29,0.591,0
0.135,0.376,0.8622,10.7,7,0.127,4.46,0.565,0
0.928,0.997,0.9497,66.4,1,0.664,7.94,0.363,0
0.735,0.831,0.9811,19.5,2,0.134,2.83,0.44,1
0.757,0.4,1.0208,53.8,7,0.782,2.13,0.402,1
0.165,0.372,1.0066,65.7,4,0.272,5.49,0.202,0
0.455,0.976,1.0214,12.6,2,0.819,1.15,0.426,0
0.384,0.564,1.002,45.9,3,0.369,2.79,0.267,1
0.884,1.1,0.9906,64.7,2,0.369,1.66,0.269,1
0.629,0.986,0.852,81.2,4,0.751,3.2,0.31,0
0.79,0.928,0.9752,33.9,2,0.51,7.65,0.526,0
0.449,0.551,0.8741,87.9,3,0.201,1.21,0.219,0
0.255,0.938,0.8617,77.6,7,0.85,6.12,0.225,0
0.549,1.153,0.8813,62.1,1,0.34,5.85,0.104,0
0.107,0.382,1.0147,41.4,6,0.103,5.38,0.178,0
0.795,0.594,0.9988,66.9,1,0.416,4.84,0.589,0
0.618,0.511,1.0398,75.3,4,0.574,6.64,0.317,0
0.732,0.654,1.0458,34.3,5,0.61,8.52,0.198,0
0.369,0.968,1.0287,89.4,7,0.836,1.62,0.583,0
0.924,0.727,0.8766,82.7,2,0.541,8.14,0.114,0
0.854,0.814,1.0257,48.8,1,0.224,0.61,0.342,1
0.751,0.583,1.0177,67.8,6,0.262,4.82,0.502,1
0.225,0.427,1.0242,51.9,7,0.101,5.11,0.486,0
0.47,0.54,0.8803,70.9,4,0.736,1.98,0.195,0
0.089,1.074,0.8734,76.2,1,0.106,0.9,0.454,0
0.189,0.842,1.0348,11.9,4,0.606,0.75,0.411,1
0.665,0.64,0.8848,16.3,3,0.597,0.37,0.438,1
